Function Name, Number of Items, Execution time (miliseconds), Memory space (bytes)
InitParticles100, 100, 3.9462, 0
InitParticles1000, 1000, 68.0802, 0
InitParticles2000, 2000, 53.8402, 0
InitParticles3000, 3000, 78.3312, 0
InitParticles4000, 4000, 131.204, 0
InitParticles5000, 5000, 170.369, 0
InitParticles6000, 6000, 248.619, 0
InitParticles7000, 7000, 314.238, 0
InitParticles8000, 8000, 393.62, 0
InitParticles9000, 9000, 489.406, 0
updateWithBvh1000, 1000, 10.998, 76008
updateWithBvh2000, 2000, 17.3813, 152008
updateWithBvh3000, 3000, 26.3533, 228008
updateWithBvh4000, 4000, 35.3065, 304008
updateWithBvh5000, 5000, 47.7617, 380008
updateWithBvh6000, 6000, 57.9689, 456008
updateWithBvh7000, 7000, 62.035, 532008
updateWithBvh8000, 8000, 80.1182, 608008
updateWithBvh9000, 9000, 86.5644, 684008
updateWithGrid1000, 1000, 33.902, 9016
updateWithGrid2000, 2000, 67.8728, 18016
updateWithGrid3000, 3000, 122.663, 27016
updateWithGrid4000, 4000, 183.65, 36016
updateWithGrid5000, 5000, 269.512, 45016
updateWithGrid6000, 6000, 342.019, 54016
updateWithGrid7000, 7000, 465.363, 63016
updateWithGrid8000, 8000, 581.409, 72016
updateWithGrid9000, 9000, 700.411, 81016
updateWithQuadTree1000, 1000, 33.1841, 85384
updateWithQuadTree2000, 2000, 47.8133, 123536
updateWithQuadTree3000, 3000, 76.3203, 153912
updateWithQuadTree4000, 4000, 133.352, 167392
updateWithQuadTree5000, 5000, 202.043, 192680
updateWithQuadTree6000, 6000, 307.603, 205872
updateWithQuadTree7000, 7000, 369.013, 222232
updateWithQuadTree8000, 8000, 498.727, 234656
updateWithQuadTree9000, 9000, 640.48, 242088
