Function Name, Number of Items, Execution time (miliseconds), Memory space (kilobytes)
InitParticles10, 10, 4.5052, 0
InitParticles100, 100, 4.1352, 0
InitParticles1000, 1000, 24.117, 0
InitParticles10000, 10000, 498.153, 0
InitParticles25, 25, 5.27, 0
InitParticles250, 250, 6.9461, 0
updateWithBvh10, 10, 0.0525, 0.768
updateWithBvh100, 100, 0.6136, 7.608
updateWithBvh1000, 1000, 8.486, 76.008
updateWithBvh10000, 10000, 90.6265, 760.008
updateWithBvh25, 25, 0.1443, 1.908
updateWithBvh250, 250, 1.5008, 19.008
updateWithGrid100, 100, 1.8162, 0.916
updateWithGrid1000, 1000, 29.9914, 9.016
updateWithQuadTree100, 100, 1.4098, 17.764
updateWithQuadTree1000, 1000, 15.9647, 75.688
